,date,price
0,2022-05-01,105.59
1,2022-04-30,105.59
2,2022-04-29,105.59
3,2022-04-28,105.59
4,2022-04-27,105.59
5,2022-04-26,105.59
6,2022-04-25,105.59
7,2022-04-24,105.59
8,2022-04-23,105.59
9,2022-04-22,105.59
10,2022-04-21,105.59
11,2022-04-20,105.59
12,2022-04-19,105.59
13,2022-04-18,105.59
14,2022-04-17,105.59
15,2022-04-16,105.59
16,2022-04-15,105.59
17,2022-04-14,105.59
18,2022-04-13,105.59
19,2022-04-12,105.59
20,2022-04-11,105.59
21,2022-04-10,105.59
22,2022-04-09,105.59
23,2022-04-08,105.59
24,2022-04-07,105.59
25,2022-04-06,105.59
26,2022-04-05,104.79
27,2022-04-04,103.99
28,2022-04-03,103.59
29,2022-04-02,102.79
30,2022-04-01,101.99
31,2022-03-31,101.99
32,2022-03-30,101.2
33,2022-03-29,100.4
34,2022-03-28,99.6
35,2022-03-27,99.3
36,2022-03-26,98.8
37,2022-03-25,98.02
38,2022-03-24,97.22
39,2022-03-23,97.22
40,2022-03-22,96.43
41,2022-03-21,95.63
42,2022-03-20,95.63
43,2022-03-19,95.63
44,2022-03-18,95.63
45,2022-03-17,95.63
46,2022-03-16,95.63
47,2022-03-15,95.63
48,2022-03-14,95.63
49,2022-03-13,95.63
50,2022-03-12,95.63
51,2022-03-11,95.63
52,2022-03-10,95.63
53,2022-03-09,95.63
54,2022-03-08,95.63
55,2022-03-07,95.63
56,2022-03-06,95.63
57,2022-03-05,95.63
58,2022-03-04,95.63
59,2022-03-03,95.63
60,2022-03-02,95.63
61,2022-03-01,95.63
62,2022-02-28,95.63
63,2022-02-27,95.63
64,2022-02-26,95.63
65,2022-02-25,95.63
66,2022-02-24,95.63
67,2022-02-23,95.63
68,2022-02-22,95.63
69,2022-02-21,95.63
70,2022-02-20,95.63
71,2022-02-19,95.63
72,2022-02-18,95.63
73,2022-02-17,95.63
74,2022-02-16,95.63
75,2022-02-15,95.63
76,2022-02-14,95.63
77,2022-02-13,95.63
78,2022-02-12,95.63
79,2022-02-11,95.63
80,2022-02-10,95.63
81,2022-02-09,95.63
82,2022-02-08,95.63
83,2022-02-07,95.63
84,2022-02-06,95.63
85,2022-02-05,95.63
86,2022-02-04,95.63
87,2022-02-03,95.63
88,2022-02-02,95.63
89,2022-02-01,95.63
90,2022-01-31,95.63
91,2022-01-30,95.63
92,2022-01-29,95.63
93,2022-01-28,95.63
94,2022-01-27,95.63
95,2022-01-26,95.63
96,2022-01-25,95.63
97,2022-01-24,95.63
98,2022-01-23,95.63
99,2022-01-22,95.63
100,2022-01-21,95.63
101,2022-01-20,95.63
102,2022-01-19,95.63
103,2022-01-18,95.63
104,2022-01-17,95.63
105,2022-01-16,95.63
106,2022-01-15,95.63
107,2022-01-14,95.63
108,2022-01-13,95.63
109,2022-01-12,95.63
110,2022-01-11,95.63
111,2022-01-10,95.63
112,2022-01-09,95.63
113,2022-01-08,95.63
114,2022-01-07,95.63
115,2022-01-06,95.63
116,2022-01-05,95.63
117,2022-01-04,95.63
118,2022-01-03,95.63
119,2022-01-02,95.63
120,2022-01-01,95.63
121,2021-12-31,95.63
122,2021-12-30,95.63
123,2021-12-29,95.63
124,2021-12-28,95.63
125,2021-12-27,95.63
126,2021-12-26,95.63
127,2021-12-25,95.63
128,2021-12-24,95.63
129,2021-12-23,95.63
130,2021-12-22,95.63
131,2021-12-21,95.63
132,2021-12-20,95.63
133,2021-12-19,95.63
134,2021-12-18,95.63
135,2021-12-17,95.63
136,2021-12-16,95.63
137,2021-12-15,95.63
138,2021-12-14,95.63
139,2021-12-13,95.63
140,2021-12-12,95.63
141,2021-12-11,95.63
142,2021-12-10,95.63
143,2021-12-09,95.63
144,2021-12-08,95.63
145,2021-12-07,95.63
146,2021-12-06,95.63
147,2021-12-05,95.63
