,date,price
0,2022-05-01,105.36
1,2022-04-30,105.36
2,2022-04-29,105.36
3,2022-04-28,105.36
4,2022-04-27,105.36
5,2022-04-26,105.36
6,2022-04-25,105.36
7,2022-04-24,105.36
8,2022-04-23,105.36
9,2022-04-22,105.36
10,2022-04-21,105.36
11,2022-04-20,105.36
12,2022-04-19,105.36
13,2022-04-18,105.36
14,2022-04-17,105.36
15,2022-04-16,105.36
16,2022-04-15,105.36
17,2022-04-14,105.36
18,2022-04-13,105.36
19,2022-04-12,105.36
20,2022-04-11,105.36
21,2022-04-10,105.36
22,2022-04-09,105.36
23,2022-04-08,105.36
24,2022-04-07,105.36
25,2022-04-06,105.36
26,2022-04-05,104.56
27,2022-04-04,103.76
28,2022-04-03,103.37
29,2022-04-02,102.57
30,2022-04-01,101.77
31,2022-03-31,101.77
32,2022-03-30,100.97
33,2022-03-29,100.17
34,2022-03-28,99.37
35,2022-03-27,99.07
36,2022-03-26,98.57
37,2022-03-25,97.79
38,2022-03-24,96.99
39,2022-03-23,96.99
40,2022-03-22,96.2
41,2022-03-21,95.4
42,2022-03-20,95.4
43,2022-03-19,95.4
44,2022-03-18,95.4
45,2022-03-17,95.4
46,2022-03-16,95.4
47,2022-03-15,95.4
48,2022-03-14,95.4
49,2022-03-13,95.4
50,2022-03-12,95.4
51,2022-03-11,95.4
52,2022-03-10,95.4
53,2022-03-09,95.4
54,2022-03-08,95.4
55,2022-03-07,95.4
56,2022-03-06,95.4
57,2022-03-05,95.4
58,2022-03-04,95.4
59,2022-03-03,95.4
60,2022-03-02,95.4
61,2022-03-01,95.4
62,2022-02-28,95.4
63,2022-02-27,95.4
64,2022-02-26,95.4
65,2022-02-25,95.4
66,2022-02-24,95.4
67,2022-02-23,95.4
68,2022-02-22,95.4
69,2022-02-21,95.4
70,2022-02-20,95.4
71,2022-02-19,95.4
72,2022-02-18,95.4
73,2022-02-17,95.4
74,2022-02-16,95.4
75,2022-02-15,95.4
76,2022-02-14,95.4
77,2022-02-13,95.4
78,2022-02-12,95.4
79,2022-02-11,95.4
80,2022-02-10,95.4
81,2022-02-09,95.4
82,2022-02-08,95.4
83,2022-02-07,95.4
84,2022-02-06,95.4
85,2022-02-05,95.4
86,2022-02-04,95.4
87,2022-02-03,95.4
88,2022-02-02,95.4
89,2022-02-01,95.4
90,2022-01-31,95.4
91,2022-01-30,95.4
92,2022-01-29,95.4
93,2022-01-28,95.4
94,2022-01-27,95.4
95,2022-01-26,95.4
96,2022-01-25,95.4
97,2022-01-24,95.4
98,2022-01-23,95.4
99,2022-01-22,95.4
100,2022-01-21,95.4
101,2022-01-20,95.4
102,2022-01-19,95.4
103,2022-01-18,95.4
104,2022-01-17,95.4
105,2022-01-16,95.4
106,2022-01-15,95.4
107,2022-01-14,95.4
108,2022-01-13,95.4
109,2022-01-12,95.4
110,2022-01-11,95.4
111,2022-01-10,95.4
112,2022-01-09,95.4
113,2022-01-08,95.4
114,2022-01-07,95.4
115,2022-01-06,95.4
116,2022-01-05,95.4
117,2022-01-04,95.4
118,2022-01-03,95.4
119,2022-01-02,95.4
120,2022-01-01,95.4
121,2021-12-31,95.4
122,2021-12-30,95.4
123,2021-12-29,95.4
124,2021-12-28,95.4
125,2021-12-27,95.4
126,2021-12-26,95.4
127,2021-12-25,95.4
128,2021-12-24,95.4
129,2021-12-23,95.4
130,2021-12-22,95.4
131,2021-12-21,95.4
132,2021-12-20,95.4
133,2021-12-19,95.4
134,2021-12-18,95.4
135,2021-12-17,95.4
136,2021-12-16,95.4
137,2021-12-15,95.4
138,2021-12-14,95.4
139,2021-12-13,95.4
140,2021-12-12,95.4
141,2021-12-11,95.4
142,2021-12-10,95.4
143,2021-12-09,95.4
144,2021-12-08,95.4
145,2021-12-07,95.4
146,2021-12-06,95.4
147,2021-12-05,95.4
148,2021-12-04,95.4
149,2021-12-03,95.4
150,2021-12-02,95.4
151,2021-11-30,95.4
152,2021-11-29,95.4
153,2021-11-28,95.4
154,2021-11-27,95.4
155,2021-11-26,95.4
156,2021-11-25,95.4
