,date,price
0,2022-05-01,105.78
1,2022-04-30,105.78
2,2022-04-29,105.78
3,2022-04-28,105.78
4,2022-04-27,105.78
5,2022-04-26,105.78
6,2022-04-25,105.78
7,2022-04-24,105.78
8,2022-04-23,105.78
9,2022-04-22,105.78
10,2022-04-21,105.78
11,2022-04-20,105.78
12,2022-04-19,105.78
13,2022-04-18,105.78
14,2022-04-17,105.78
15,2022-04-16,105.78
16,2022-04-15,105.78
17,2022-04-14,105.78
18,2022-04-13,105.78
19,2022-04-12,105.78
20,2022-04-11,105.78
21,2022-04-10,105.78
22,2022-04-09,105.78
23,2022-04-08,105.78
24,2022-04-07,105.78
25,2022-04-06,105.78
26,2022-04-05,104.98
27,2022-04-04,104.18
28,2022-04-03,103.78
29,2022-04-02,102.98
30,2022-04-01,102.18
31,2022-03-31,102.18
32,2022-03-30,101.38
33,2022-03-29,100.59
34,2022-03-28,99.79
35,2022-03-27,99.49
36,2022-03-26,98.99
37,2022-03-25,98.22
38,2022-03-24,97.42
39,2022-03-23,97.42
40,2022-03-22,96.62
41,2022-03-21,95.82
42,2022-03-20,95.82
43,2022-03-19,95.82
44,2022-03-18,95.82
45,2022-03-17,95.82
46,2022-03-16,95.82
47,2022-03-15,95.82
48,2022-03-14,95.82
49,2022-03-13,95.82
50,2022-03-12,95.82
51,2022-03-11,95.82
52,2022-03-10,95.82
53,2022-03-09,95.82
54,2022-03-08,95.82
55,2022-03-07,95.82
56,2022-03-06,95.82
57,2022-03-05,95.82
58,2022-03-04,95.82
59,2022-03-03,95.82
60,2022-03-02,95.82
61,2022-03-01,95.82
62,2022-02-28,95.82
63,2022-02-27,95.82
64,2022-02-26,95.82
65,2022-02-25,95.82
66,2022-02-24,95.82
67,2022-02-23,95.82
68,2022-02-22,95.82
69,2022-02-21,95.82
70,2022-02-20,95.82
71,2022-02-19,95.82
72,2022-02-18,95.82
73,2022-02-17,95.82
74,2022-02-16,95.82
75,2022-02-15,95.82
76,2022-02-14,95.82
77,2022-02-13,95.82
78,2022-02-12,95.82
79,2022-02-11,95.82
80,2022-02-10,95.82
81,2022-02-09,95.82
82,2022-02-08,95.82
83,2022-02-07,95.82
84,2022-02-06,95.82
85,2022-02-05,95.82
86,2022-02-04,95.82
87,2022-02-03,95.82
88,2022-02-02,95.82
89,2022-02-01,95.82
90,2022-01-31,95.82
91,2022-01-30,95.82
92,2022-01-29,95.82
93,2022-01-28,95.82
94,2022-01-27,95.82
95,2022-01-26,95.82
96,2022-01-25,95.82
97,2022-01-24,95.82
98,2022-01-23,95.82
99,2022-01-22,95.82
100,2022-01-21,95.82
101,2022-01-20,95.82
102,2022-01-19,95.82
103,2022-01-18,95.82
104,2022-01-17,95.82
105,2022-01-16,95.82
106,2022-01-15,95.82
107,2022-01-14,95.82
108,2022-01-13,95.82
109,2022-01-12,95.82
110,2022-01-11,95.82
111,2022-01-10,95.82
112,2022-01-09,95.82
113,2022-01-08,95.82
114,2022-01-07,95.82
115,2022-01-06,95.82
116,2022-01-05,95.82
117,2022-01-04,95.82
118,2022-01-03,95.82
119,2022-01-02,95.82
120,2022-01-01,95.82
121,2021-12-31,95.82
122,2021-12-30,95.82
123,2021-12-29,95.82
124,2021-12-28,95.82
125,2021-12-27,95.82
126,2021-12-26,95.82
127,2021-12-25,95.82
128,2021-12-24,95.82
129,2021-12-23,95.82
130,2021-12-22,95.82
131,2021-12-21,95.82
132,2021-12-20,95.82
133,2021-12-19,95.82
134,2021-12-18,95.82
135,2021-12-17,95.82
136,2021-12-16,95.82
137,2021-12-15,95.82
138,2021-12-14,95.82
139,2021-12-13,95.82
140,2021-12-12,95.82
141,2021-12-11,95.82
142,2021-12-10,95.82
143,2021-12-09,95.82
144,2021-12-08,95.82
145,2021-12-07,95.82
146,2021-12-06,95.82
147,2021-12-05,95.82
148,2021-12-04,95.82
149,2021-12-03,95.82
150,2021-12-02,95.82
151,2021-11-30,95.82
152,2021-11-29,95.82
153,2021-11-28,95.82
154,2021-11-27,95.82
155,2021-11-26,95.82
156,2021-11-25,95.82
157,2021-11-24,95.82
158,2021-11-23,95.82
159,2021-11-22,95.82
160,2021-11-21,95.82
161,2021-11-20,95.82
162,2021-11-19,95.82
163,2021-11-18,95.82
164,2021-11-17,95.82
165,2021-11-16,95.82
166,2021-11-15,95.82
167,2021-11-14,95.82
168,2021-11-13,95.82
169,2021-11-12,95.82
170,2021-11-11,95.82
171,2021-11-10,95.82
172,2021-11-09,95.82
173,2021-11-08,95.82
174,2021-11-07,95.82
175,2021-11-06,95.82
176,2021-11-05,95.82
177,2021-11-04,101.63
178,2021-11-03,107.53
179,2021-11-02,107.53
180,2021-11-01,107.17
181,2021-10-31,106.76
182,2021-10-30,106.42
183,2021-10-29,106.08
184,2021-10-28,105.74
185,2021-10-27,105.4
186,2021-10-26,105.06
187,2021-10-25,105.06
188,2021-10-24,105.06
189,2021-10-23,104.72
190,2021-10-22,104.38
191,2021-10-21,104.04
192,2021-10-20,103.7
193,2021-10-19,103.36
194,2021-10-18,103.36
195,2021-10-15,102.68
196,2021-10-14,102.34
197,2021-10-13,102
198,2021-10-12,102
199,2021-10-11,102
200,2021-10-10,101.7
201,2021-10-09,101.41
202,2021-10-08,101.12
203,2021-10-07,100.83
204,2021-10-06,100.54
205,2021-10-05,100.25
206,2021-10-04,100
207,2021-10-03,100
208,2021-10-02,99.76
209,2021-10-01,99.52
210,2021-09-30,99.29
211,2021-09-29,99.05
212,2021-09-28,99.05
213,2021-09-27,98.87
214,2021-09-26,98.87
215,2021-09-25,98.87
216,2021-09-24,98.87
217,2021-09-23,98.87
218,2021-09-22,98.87
219,2021-09-21,98.87
220,2021-09-20,98.87
221,2021-09-19,98.87
222,2021-09-18,98.87
223,2021-09-17,98.87
224,2021-09-16,98.87
225,2021-09-15,98.87
226,2021-09-14,98.87
227,2021-09-13,98.87
228,2021-09-12,98.87
229,2021-09-11,98.87
230,2021-09-10,98.87
231,2021-09-09,98.87
232,2021-09-08,98.87
233,2021-09-07,98.87
234,2021-09-06,98.87
235,2021-09-05,98.87
236,2021-09-03,99.03
237,2021-09-02,99.03
238,2021-09-01,99.03
239,2021-08-31,99.18
240,2021-08-30,99.18
241,2021-08-29,99.18
242,2021-08-28,99.18
243,2021-08-27,99.18
244,2021-08-26,99.18
245,2021-08-25,99.18
246,2021-08-24,99.18
247,2021-08-23,99.32
248,2021-08-22,99.32
249,2021-08-21,99.42
250,2021-08-20,99.42
251,2021-08-19,99.42
252,2021-08-18,99.42
253,2021-08-17,99.42
254,2021-08-16,99.42
255,2021-08-15,99.42
256,2021-08-14,99.42
257,2021-08-13,99.42
258,2021-08-12,99.42
259,2021-08-11,99.42
260,2021-08-10,99.42
261,2021-08-09,99.42
262,2021-08-08,99.42
263,2021-08-07,99.42
264,2021-08-06,99.42
265,2021-08-05,99.42
266,2021-08-04,99.42
267,2021-08-03,99.42
268,2021-08-02,99.42
269,2021-08-01,99.42
270,2021-07-31,99.42
271,2021-07-30,99.42
272,2021-07-29,99.42
273,2021-07-28,99.42
274,2021-07-27,99.42
275,2021-07-26,99.42
276,2021-07-25,99.42
277,2021-07-24,99.42
278,2021-07-23,99.42
279,2021-07-22,99.42
280,2021-07-21,99.42
281,2021-07-20,99.42
282,2021-07-19,99.42
283,2021-07-18,99.42
284,2021-07-17,99.42
285,2021-07-16,99.13
286,2021-07-15,99.13
287,2021-07-14,98.79
288,2021-07-13,98.79
289,2021-07-12,98.79
290,2021-07-11,98.52
291,2021-07-10,98.52
292,2021-07-09,98.18
293,2021-07-08,98.18
294,2021-07-07,97.84
295,2021-07-06,97.5
296,2021-07-05,97.5
297,2021-07-04,97.16
298,2021-07-03,96.82
299,2021-07-02,96.82
300,2021-07-01,96.48
301,2021-06-30,96.48
302,2021-06-29,96.48
303,2021-06-28,96.13
304,2021-06-27,96.13
305,2021-06-26,95.79
306,2021-06-25,95.45
307,2021-06-24,95.45
308,2021-06-23,95.2
309,2021-06-22,95.2
310,2021-06-21,94.93
311,2021-06-20,94.93
312,2021-06-19,94.65
313,2021-06-18,94.65
314,2021-06-17,94.38
315,2021-06-16,94.38
316,2021-06-15,94.14
317,2021-06-14,94.14
318,2021-06-13,93.86
319,2021-06-12,93.86
320,2021-06-11,93.6
321,2021-06-10,93.31
322,2021-06-09,93.31
323,2021-06-08,93.07
324,2021-06-07,93.07
325,2021-06-06,92.8
326,2021-06-05,92.53
327,2021-06-04,92.53
328,2021-06-03,92.27
329,2021-06-02,92.27
330,2021-06-01,92.27
331,2021-05-31,92.03
332,2021-05-30,91.81
333,2021-05-29,91.81
334,2021-05-28,91.61
335,2021-05-27,91.61
336,2021-05-26,91.42
337,2021-05-25,91.42
338,2021-05-24,91.25
339,2021-05-23,91.25
340,2021-05-22,91.12
341,2021-05-21,91.12
342,2021-05-20,90.97
343,2021-05-19,90.97
344,2021-05-18,90.97
345,2021-05-17,90.76
346,2021-05-16,90.76
347,2021-05-15,90.58
348,2021-05-14,90.58
349,2021-05-13,90.36
350,2021-05-12,90.36
351,2021-05-11,90.17
352,2021-05-10,89.96
353,2021-05-09,89.76
354,2021-05-08,89.76
355,2021-05-07,89.76
356,2021-05-06,89.54
357,2021-05-05,89.35
358,2021-05-04,89.21
359,2021-05-03,89.03
360,2021-05-02,89.03
361,2021-05-01,89.03
362,2021-04-30,89.03
363,2021-04-29,89.03
364,2021-04-28,89.03
