,date,price
0,2022-05-01,117.71
1,2022-04-30,117.71
2,2022-04-29,117.71
3,2022-04-28,117.71
4,2022-04-27,117.71
5,2022-04-26,117.71
6,2022-04-25,117.71
7,2022-04-24,117.71
8,2022-04-23,117.71
9,2022-04-22,117.71
10,2022-04-21,117.71
11,2022-04-20,117.71
12,2022-04-19,117.71
13,2022-04-18,117.71
14,2022-04-17,117.71
15,2022-04-16,117.71
16,2022-04-15,117.71
17,2022-04-14,117.71
18,2022-04-13,117.71
19,2022-04-12,117.71
20,2022-04-11,117.71
21,2022-04-10,117.71
22,2022-04-09,117.71
23,2022-04-08,117.71
24,2022-04-07,117.71
25,2022-04-06,117.71
26,2022-04-05,116.88
27,2022-04-04,116.06
28,2022-04-03,115.64
29,2022-04-02,114.82
30,2022-04-01,113.99
31,2022-03-31,113.99
32,2022-03-30,113.16
33,2022-03-29,112.34
34,2022-03-28,111.51
35,2022-03-27,111.2
36,2022-03-26,110.68
37,2022-03-25,109.91
38,2022-03-24,109.09
39,2022-03-23,109.09
40,2022-03-22,108.26
41,2022-03-21,107.43
42,2022-03-20,107.43
43,2022-03-19,107.43
44,2022-03-18,107.43
45,2022-03-17,107.43
46,2022-03-16,107.43
47,2022-03-15,107.43
48,2022-03-14,107.43
49,2022-03-13,107.43
50,2022-03-12,107.43
51,2022-03-11,107.43
52,2022-03-10,107.43
53,2022-03-09,107.43
54,2022-03-08,107.43
55,2022-03-07,107.43
56,2022-03-06,107.43
57,2022-03-05,107.43
58,2022-03-04,107.43
59,2022-03-03,107.43
60,2022-03-02,107.43
61,2022-03-01,107.43
62,2022-02-28,107.43
63,2022-02-27,107.43
64,2022-02-26,107.43
65,2022-02-25,107.43
66,2022-02-24,107.43
67,2022-02-23,107.43
68,2022-02-22,107.43
69,2022-02-21,107.43
70,2022-02-20,107.43
71,2022-02-19,107.43
72,2022-02-18,107.43
73,2022-02-17,107.43
74,2022-02-16,107.43
75,2022-02-15,107.43
76,2022-02-14,107.43
77,2022-02-13,107.43
78,2022-02-12,107.43
79,2022-02-11,107.43
80,2022-02-10,107.43
81,2022-02-09,107.43
82,2022-02-08,107.43
83,2022-02-07,107.43
84,2022-02-06,107.43
85,2022-02-05,107.43
86,2022-02-04,107.43
87,2022-02-03,107.43
88,2022-02-02,107.43
89,2022-02-01,107.43
90,2022-01-31,107.43
91,2022-01-30,107.43
92,2022-01-29,107.43
93,2022-01-28,107.43
94,2022-01-27,107.43
95,2022-01-26,107.43
96,2022-01-25,107.43
97,2022-01-24,107.43
98,2022-01-23,107.43
99,2022-01-22,107.43
100,2022-01-21,107.43
101,2022-01-20,107.43
102,2022-01-19,107.43
103,2022-01-18,107.43
104,2022-01-17,107.43
105,2022-01-16,107.43
106,2022-01-15,107.43
107,2022-01-14,107.43
108,2022-01-13,107.43
109,2022-01-12,107.43
110,2022-01-11,107.43
111,2022-01-10,107.43
112,2022-01-09,107.43
113,2022-01-08,107.43
114,2022-01-07,107.43
115,2022-01-06,107.43
116,2022-01-05,107.43
117,2022-01-04,107.43
118,2022-01-03,107.43
119,2022-01-02,107.43
120,2022-01-01,107.43
121,2021-12-31,107.43
122,2021-12-30,107.43
123,2021-12-29,107.43
124,2021-12-28,107.43
125,2021-12-27,107.43
126,2021-12-26,107.43
127,2021-12-25,107.43
128,2021-12-24,107.43
129,2021-12-23,107.43
