,date,price
0,2022-05-01,105.58
1,2022-04-30,105.58
2,2022-04-29,105.58
3,2022-04-28,105.58
4,2022-04-27,105.58
5,2022-04-26,105.58
6,2022-04-25,105.58
7,2022-04-24,105.58
8,2022-04-23,105.58
9,2022-04-22,105.58
10,2022-04-21,105.58
11,2022-04-20,105.58
12,2022-04-19,105.58
13,2022-04-18,105.58
14,2022-04-17,105.58
15,2022-04-16,105.58
16,2022-04-15,105.58
17,2022-04-14,105.58
18,2022-04-13,105.58
19,2022-04-12,105.58
20,2022-04-11,105.58
21,2022-04-10,105.58
22,2022-04-09,105.58
23,2022-04-08,105.58
24,2022-04-07,105.58
25,2022-04-06,105.58
26,2022-04-05,104.79
27,2022-04-04,103.99
28,2022-04-03,103.59
29,2022-04-02,102.79
30,2022-04-01,101.99
31,2022-03-31,101.99
32,2022-03-30,101.19
33,2022-03-29,100.4
34,2022-03-28,99.6
35,2022-03-27,99.3
36,2022-03-26,98.8
37,2022-03-25,98.02
38,2022-03-24,97.22
39,2022-03-23,97.22
40,2022-03-22,96.42
41,2022-03-21,95.62
42,2022-03-20,95.62
43,2022-03-19,95.62
44,2022-03-18,95.62
45,2022-03-17,95.62
46,2022-03-16,95.62
47,2022-03-15,95.62
48,2022-03-14,95.62
49,2022-03-13,95.62
50,2022-03-12,95.62
51,2022-03-11,95.62
52,2022-03-10,95.62
53,2022-03-09,95.62
54,2022-03-08,95.62
55,2022-03-07,95.62
56,2022-03-06,95.62
57,2022-03-05,95.62
58,2022-03-04,95.62
59,2022-03-03,95.62
60,2022-03-02,95.62
61,2022-03-01,95.62
62,2022-02-28,95.62
63,2022-02-27,95.62
64,2022-02-26,95.62
65,2022-02-25,95.62
66,2022-02-24,95.62
67,2022-02-23,95.62
68,2022-02-22,95.62
69,2022-02-21,95.62
70,2022-02-20,95.62
71,2022-02-19,95.62
72,2022-02-18,95.62
73,2022-02-17,95.62
74,2022-02-16,95.62
75,2022-02-15,95.62
76,2022-02-14,95.62
77,2022-02-13,95.62
78,2022-02-12,95.62
79,2022-02-11,95.62
80,2022-02-10,95.62
81,2022-02-09,95.62
82,2022-02-08,95.62
83,2022-02-07,95.62
84,2022-02-06,95.62
85,2022-02-05,95.62
86,2022-02-04,95.62
87,2022-02-03,95.62
